# raw capture of: cargo test --lib probe_filed_interest_sign -- --ignored --nocapture
# worktree: G:/dev/repos/discount_screener/.claude/worktrees/agent-a19c1b1e4036e2768
# branch content: valuation/wave1-integration @ 4d1e916
# pre-existing cargo build warnings from unrelated modules elided above this line; nothing else edited.

running 1 test
=== PROBE D: the filed sign of net interest, before negation or abs() ===
retrieved 2026-08-04T19:34:19.733199600+00:00
negated by the proposed convention: InterestIncomeExpenseNet InterestIncomeExpenseNonoperatingNet
today = |filed| (dcf_model.rs:907 abs on write, :551 and :1590 abs on read)
after = -filed for a negated concept, filed otherwise, with those three sites gone
dFCFF = (after - today) * (1 - tax), the FCFF bridge at dcf_model.rs:1591
dmgn  = the shift in AlignedDriverYear::fcff_margin_bps, the published quantity
prod  = FcfPoint::interest_expense_dollars, the live post-abs value; '!' marks a
         disagreement with |filed| and would mean this reconstruction is wrong

symbol   year winning qname                                    filed $M  sign  neg     today $M     after $M      prod $M       debt $M    tax  guard     dFCFF $M  dmgn bps
MPWR     2010 -                                                  absent
MPWR     2011 -                                                  absent
MPWR     2012 -                                                  absent
MPWR     2013 -                                                  absent
MPWR     2014 InterestIncomeExpenseNonoperatingNet                  1.1     +  yes          1.1         -1.1         1.1        absent    246      -         -2.2       -77
MPWR     2015 InterestIncomeExpenseNonoperatingNet                  1.6     +  yes          1.6         -1.6         1.6        absent   1722      -         -2.7       -80
MPWR     2016 InterestIncomeExpenseNonoperatingNet                  2.5     +  yes          2.5         -2.5         2.5        absent    794      -         -4.6      -118
MPWR     2017 InterestIncomeExpenseNonoperatingNet                  5.4     +  yes          5.4         -5.4         5.4        absent   2139      -         -8.4      -178
MPWR     2018 InterestIncomeExpenseNonoperatingNet                  6.3     +  yes          6.3         -6.3         6.3        absent   1115      -        -11.2      -192
MPWR     2019 InterestIncomeExpenseNonoperatingNet                  7.3     +  yes          7.3         -7.3         7.3        absent    378      -        -14.1      -224
MPWR     2020 InterestIncomeExpenseNonoperatingNet                  9.3     +  yes          9.3         -9.3         9.3        absent    293      -        -18.1      -214
MPWR     2021 InterestIncomeExpenseNonoperatingNet                 11.6     +  yes         11.6        -11.6        11.6        absent   1109      -        -20.7      -171
MPWR     2022 InterestIncomeExpenseNonoperatingNet                 14.4     +  yes         14.4        -14.4        14.4        absent   1662      -        -24.0      -134
MPWR     2023 InterestIncomeExpenseNonoperatingNet                 23.4     +  yes         23.4        -23.4        23.4        absent   1551      -        -39.5      -217
MPWR     2024 InterestIncomeExpenseNonoperatingNet                 27.1     +  yes         27.1        -27.1        27.1        absent   3500      -        -35.2      -160
MPWR     2025 InterestIncomeExpenseNonoperatingNet                 29.2     +  yes         29.2        -29.2        29.2        absent   1889      -        -47.3      -169
APH      2007 InterestExpense                                      36.9     +   no         36.9         36.9        36.9        absent   2889      -          0.0         0
APH      2008 InterestExpense                                      39.6     +   no         39.6         39.6        39.6        absent   2751      -          0.0         0
APH      2009 InterestExpense                                      36.6     +   no         36.6         36.6        36.6        absent   2672      -          0.0         0
APH      2010 InterestExpense                                      40.7     +   no         40.7         40.7        40.7         800.0   2430      -          0.0         0
APH      2011 InterestExpense                                      43.0     +   no         43.0         43.0        43.0        1377.1   2622      -          0.0         0
APH      2012 InterestExpense                                      59.6     +   no         59.6         59.6        59.6        1706.5   2816      -          0.0         0
APH      2013 InterestExpense                                      63.6     +   no         63.6         63.6        63.6        2132.9   2456      -          0.0         0
APH      2014 InterestExpense                                      80.4     +   no         80.4         80.4        80.4        2673.9   2646      -          0.0         0
APH      2015 InterestExpense                                      68.3     +   no         68.3         68.3        68.3        2813.5   2664      -          0.0         0
APH      2016 InterestExpense                                      72.6     +   no         72.6         72.6        72.6        3010.7   2704      -          0.0         0
APH      2017 InterestExpense                                      92.3     +   no         92.3         92.3        92.3        3542.6   3500      -          0.0         0
APH      2018 InterestExpense                                     101.7     +   no        101.7        101.7       101.7        2806.4   2339      -          0.0         0
APH      2019 InterestExpense                                     117.6     +   no        117.6        117.6       117.6        3203.4   2219      -          0.0         0
APH      2020 InterestExpense                                     115.4     +   no        115.4        115.4       115.4        3636.2   2052      -          0.0         0
APH      2021 InterestExpense                                     115.5     +   no        115.5        115.5       115.5        4795.9   2057      -          0.0         0
APH      2022 InterestExpenseNonoperating                         128.4     +   no        128.4        128.4       128.4        4575.0   2231      -          0.0         0
APH      2023 InterestExpenseNonoperating                         139.5     +   no        139.5        139.5       139.5        3983.5   2075      -          0.0         0
